hotel.name,rt.ovarll,rev.title,rev,Word count 
Fullerton,3,“A good hotel that could be great with improved customer service”,"I will start by saying my first impressions of The Fullerton were not great, after spending our two nights at the Marina Bay Sans where the customer service is out of this world! we were a little disappointed...... but it did get better!Wa arrived via taxi, and were greeted by the doorman in a very nice manner, however that's where the nice welcome ended. We both had backpacks on our backs for luggage which no one offered to take for us, we then checked in. While the staff may have not intentionally offended us....they did, at check in we were asked if we could leave a credit card for a deposit (my partners credit card was stolen) so we stated we did not have one. The staff member then said he understood as we look like we can not have one? He also said as we were backpacking we do not need to leave a deposit as he understood it is a lot of money? He then told us we were travelling like people in the military do? again we were both a little off put by this whole conversation and confused. We then carried our own luggage to our room. After this we were apprehensive about staff attitudes at The Fullerton Hotel, but we were proven wrong with wonderful staff at both the concierge desk and the pool on every day of our three night stay. The infinity pool is lovely, with a wonderful view, great bar and food service. Our room was very dark but charming, clean and comfortable with all the trimmings of a 5 star establishment! (TWG tea bags a real bonus for tea lovers)! The building itself is lovely and feels very regal, the courtyard is great place for high tea. A few improvements to make, but overall a good hotel that could be great! Location is the best in the city (i think). Would have given a better rating if not for the poor welcome!",49
Fullerton,3,"“Great place, gotten too expensive....”","Checked in again and enjoyed the stay, but noted that the prices had gone up significantly since I started staying there over the years. It's hard to turn your back on such a great place, but alas it's now time to say good bye - I'm finding alternative accomodation",331
Fullerton,3,“A good hotel that could be great with improved customer service”,"I will start by saying my first impressions of The Fullerton were not great, after spending our two nights at the Marina Bay Sans where the customer service is out of this world! we were a little disappointed...... but it did get better!Wa arrived via taxi, and were greeted by the doorman in a very nice manner, however that's where the nice welcome ended. We both had backpacks on our backs for luggage which no one offered to take for us, we then checked in. While the staff may have not intentionally offended us....they did, at check in we were asked if we could leave a credit card for a deposit (my partners credit card was stolen) so we stated we did not have one. The staff member then said he understood as we look like we can not have one? He also said as we were backpacking we do not need to leave a deposit as he understood it is a lot of money? He then told us we were travelling like people in the military do? again we were both a little off put by this whole conversation and confused. We then carried our own luggage to our room. After this we were apprehensive about staff attitudes at The Fullerton Hotel, but we were proven wrong with wonderful staff at both the concierge desk and the pool on every day of our three night stay. The infinity pool is lovely, with a wonderful view, great bar and food service. Our room was very dark but charming, clean and comfortable with all the trimmings of a 5 star establishment! (TWG tea bags a real bonus for tea lovers)! The building itself is lovely and feels very regal, the courtyard is great place for high tea. A few improvements to make, but overall a good hotel that could be great! Location is the best in the city (i think). Would have given a better rating if not for the poor welcome!",544
Fullerton,3,“High expectations not Met!”,"We were super excited to stay at The Fullerton for our stop of 3 nights in Singapore. Why excited? well... it is The Fullerton! - Unfortunately overall was just \blah\"".Upon arrival - we were very exhausted after spending time in the airpot for a delayed flight... finally we are at The Fullerton and we thought... \""Thanks God\"" - looking forward to be in our room ASAP - we have booked a \""Courtyard Room\"" without Breakfast... all very CLEAR as we booked-it our selves and we knew about it - with the reservation we kindly requested the possibility of a high floor. - When we arrived I encountered a Receptionist that maybe he didn't know how the computer worked as he was typing so much... and we are waiting, as he types, and we are waiting, as he types and waiting again, and again as he types... wow maybe he was writing to his faraway family to whom he didn't write for very loooong time!.... oh well! - finally he address us with the question - : -Do you know you booked a \""Courtyard Room\""? -Yes I know - I made the reservation - is there a problem? -No, no problem is just that you can receive an upgrade for $$$$ for what I said:-\""No thanks\""....and the receptionist again -\""Do you know you have no breakfast included?\"" -Yes I know - I made the reservation - is there a problem? -No, no problem - is just if you upgrade you can get the breakfast-For what I said: I have business meetings everyday early in the morning and I'll be having breakfast with my colleagues - No, I don't Need breakfast!And again the receptionist:-Well you could still upgrade without the breakfast – would you?Through my mind passed the though of answering “I don’t want your bloody upgrade, I want nothing, get me a taxi and I get the hell out of here to a place where I can be checking-in without the hassle of having being questioned about my reservation and for trying to upsell every single thing available” I felt like in a “car rental” where they try herd to upsell but the staff at The Fullerton went beyond upselling - I deeply took a breath and finally I replied, “Please can you get me my room?” – after another session of typing & typing and typing again in the computer I got into my room – already disappointed upon check-in.Overall – a deception, F&B just average service, they have no idea how to make a Whiskey Sour at the bar – my expectations were not met at this place – next time I will book another property like the St Regis were I should have been since the beginning. – I must say; check-out was a breeze… I guess at check-out no point to waste time with a guess to upsell. Room was large, - but just large, nothing special, just tired, pool was cool, service overall – average.To the GM – stop hassling your guests making your staff upsell & upsell, just improve your services that if your services are great you can get my money on your outlets or additional services – just get your guests to their room ASAP upon arrival.""",275
Fullerton,3,“Faded beauty?”,"I recently stayed for 2 nights during a business trip. Despite the rating, I would use the hotel again due to location to work & the service levels. The rating is based on the fact it's regarded as a 5 star hotel & priced accordingly. This might have been correct 5-10yrs ago, but with new properties at similar prices, I believe the Fullerton is in need of renovation to justify such claims. In summary:Positive1) Quick and friendly check-in and check-out2) Free WIFI, experienced no issues3) Large room (actually too large) and excellent bathroom (also very large). Had all amenities you would expect/need.4) Reasonable gym and nice outdoor pool. Good service at the pool.5) Had buffet dinner one evening for $58, excellent choice and service. Positive experience.6) Impressive entrance and main floor (good meeting area)7) Comfortable bedNegative1) Rooms are faded. They look 10-20yrs old. The room was actually too large, felt cold. 2) Bath had plenty of hot water, shower did not. It had warm water, so no problem having a shower (really large cubicle), but it wasn't so enjoyable as I couldn't get it to be hot.3) Balcony was surrounded by a high brick wall, might as well not have had a balcony. No atmosphere at all.4) The window frame rattled at night, not sure why, but every hour or so it did. Not a problem once asleep.5) Breakfast was $54 as I recall, this is too much for breakfast (especially when considering the room rates).6) Spa. It appears to have multiple awards, but it consists of some massage rooms and a small sauna. Not sure on what basis the awards would have been given.",201
Fullerton,3,“3 Night Stay.”,"The location of this hotel is great. Chose a room with a view over the canal. The foyer and check-in were quite impressive, but the room itself was a little dated. The shelf in the top of the wardrobe wasn't dusted so the clothes I had put on it came out covered in dust and were unwearable. the vanity shelf in the bathroom was also thick with dust, underneath he bed had obviously not been vacuumed for some time as it was thick with dust.We ate at the lighthouse restaurant on Friday evening. The location is lovely and the rooftop bar has fantastic views. I ordered a veal chop for my main course and unfortunately it was terrible. I couldn't eat it. I was offered a tiramisu to make up for it, which I thought was not the best offer ever. However, we got a discount from our bill for the evening which seemed reasonable. There were a couple of other incidents, including being given the snack menu at the rooftop bar after the kitchen had closed and not successfully completing a room service order. However, in general it was a pleasant stay and the building and facilities are generally impressive.",171
Fullerton,3,“Excellent service but I missed some daylight”,"This 5 star hotel is located right in the heart of Singapore and makes walking around so easy. It was my 2nd time to the hotel and unfortunately just as the first time, I got a room without outside window but with a small window on the atrium, meaning you don't have any natural daylight whatsoever. It doesn't matter how big and nice the room was, it makes me depressive not to see daylight when I wake up, so I tried to stay at least as possible in the room and unfortunately the hotel was fully booked, so no room switch was possible. Luckily Breakfast is great and you can actually sit outside, next to the river, which makes a nice change from the gloomy room. The service is also as efficient as can be and wouldn't it be for the daylight less room, I would probably love the place, but I didn't. Also be warned that it comes with a very hefty price tag, and everything consumed is whoppingly expensive.",346
Fullerton,3,"“convenient, but not my favourite”","Over the last year, I've visited S'pore almost on monthly basis and The Fullerton hotel is the first option that I have due to corporate agreement in place.Indeed, it is very convenient for those professionals that work around the financial district since you reach any corporate offices in a short walk, which is good due to warm and humid weather of S'pore.However, there is noting special or something that differentiate the hotel from other 5* in town; actually sometimes they don't pay attention in the details; last week during my check in, the receptionist asked me for my details since they didn't have, however the included me in their loyal programme last year due to the several times that I was there. She didn't realise or even reservation didn't mark as such.As a result, not differentiation in the services or even amenities this time, only normal news paper.Last time, albeit I was upgraded to a better room, it was literally a night mare, since the room was at the front of the building where they have those big globes to light, but the courting in the room didn't cover all window, then the light came straight to the bed - precisely to the pillow - I asked the client service to fix, but they were unable to do anything; they offer the next day to move to another room, at least.Other issue is the building's acoustics, mainly if you stay in the room with view to the atrium; you can listen the the music (good one) very well, but they play until mid night every day, so ...Room service is efficient and breakfast is very good like other similar hotels across Asia; the Italian hotel Light House is very, very good, with fantastic service; perhaps the best part of the hotel.The gym is small, but enough to practice some exercises, whilst the swimming pool has a nice view, but also not too much space.But if you don't have a good deal to stay there (corporate rate), I would consider others such Mandarin Oriental, Ritz or Raffles",131
Fullerton,3,“Do not book a courtyard room”,"Great looking hotel with lovely ambience. Breakfast is amazing—any choice you want- English, Japanese, Indian, Chinese. Great to sit outside and eat whilst watching those energetic joggers! The roof top bar took some finding—a very secret lift to it- but once there it was worth it! Views to the Marina Bay Sands and great views of the laser show.Reason I would not return - the room. It was billed as a courtyard room, and looked into the atrium of the hotel. I was instructed when shown to the room not to open the blinds as it would affect the privacy of the people on the other side of the courtyard!! I did complain, and they did offer to switch my room, but the offer came too late to be of use.",643
Fullerton,1,“A Disaster on Steroids!”,"I smelled a rat when My Dearest and I checked in at the Fullerton Hotel. The receptionist handed us our keys and chirped that she would escort us to the elevator. To the elevator? Are you joking? At most fine hotels a porter escorts you to your room when you arrive. In a few of the best hotels the receptionist guides you personally to your room. The goal is to (1) make sure you don’t get lost, (2) check that the room has been properly prepared for you, and (3) explain how the climate control and other things in the room work. Walking us to the elevator was a waste of time. A pretence of personal service that, in reality, was no service at all. Thanks, lady, but I can find my own way to the elevators.Our room was worthless. Tired old scraps of furniture with scratches, scuff marks, hanging cords, and threadbare fabrics. Many of the furnishings were made of fake yellow wood veneers glued onto particleboard. Some furniture had been damaged and then shoddily repaired with splashes of non-matching paint, masking tape, and in one case a wedge of folded up paper. The closet was small and lined with scraps of dusty plywood from many decades ago.The room was ugly with a yellow and brown color scheme from the 1960’s. Zero art on the walls. The carpet was frayed and in some corners torn. There were holes in the lamp shades. The few odd bits of wood trim did not line up with each other. The door to the room did not lock when it swung closed. I had to slam my body against the door to make it lock. This is a safety problem. There’s not much crime in Singapore, but still I don’t like sleeping in a hotel room with a semi-functional lock on the door.The bathroom was serviceable but depressing. The ugly tiles needed to be re-grouted. Bare floor with no rug. Shampoo and other bathroom product from Sysco Guest Supply. The thin white towels had been washed way too many times and reminded me of my college dormitory. The hair dryer was small and bolted to the wall. Cheap plastic toilet seat. Single ply toilet paper – of course!The Fullerton offers free WIFI. You get what you pay for – in spades. The WIFI functioned only intermittently. When it did function it was slow, often taking several minutes to open an e-mail. When I called to complain I was put on hold for ten minutes waiting for an IT support person who, when he finally answered the phone, knew less about computers than I do and was incapable of coherent speech.I try not to eat at buffets, because (1) food that sits on a buffet is usually dried out, overcooked, or waterlogged from the steamer, (2) buffets tempt me to overeat, and (3) I like to have a minion fetch my meal. One night, against my better judgment, My Dearest and I tried the dinner buffet at Town, the Hotel’s all-day restaurant. Absolutely awful! Roast meats that tasted of salt and stale grease. Vegetable curries filled with veggies that had disintegrated into a slurry. Chicken flavored rice with the taste of dehydrated chicken broth. In a desperate search for something remotely palatable, I gathered a plate of brown rolls and hard cheese. How could anyone screw up brown rolls and cheese? To my horror Town managed to do just that. The rolls tasted of old cardboard and the cheese of recycled plastic. We dined off property for the rest of our stay.The only redeeming quality of the Fullerton is its staff. For the most part, and with the notable exception of the IT support bozo, they are polite, enthusiastic, and professional. The concierge service was superb.This place is a disaster on steroids. Avoid it like the plague!",75
